id,Ciudad,Latitud,Logitud,GPS,Importancia,Ventas,Estado
516,MEDELLIN,6.20770444,-75.5665465,6.20770444010561;-75.566546501434,1,153965,ABIERTO
517,MEDELLIN,6.291231632,-75.57675171,6.29123163223;-75.576751709,2,339292,ABIERTO
518,MEDELLIN,6.231508732,-75.57090759,6.23150873184;-75.5709075928,1,220436,ABIERTO
519,MEDELLIN,6.273726592,-75.57208205,6.27372659154828;-75.5720820507541,5,340471,ABIERTO
520,MEDELLIN,6.254320145,-75.56699371,6.25432014465;-75.5669937134,5,221116,ABIERTO
521,MEDELLIN,6.307289,-75.57658666,6.30728900000005;-75.5765866640676,3,325051,ABIERTO
522,MEDELLIN,6.277436926,-75.56641177,6.27743692614501;-75.5664117706034,5,340753,ABIERTO
523,MEDELLIN,6.25552253,-75.54072215,6.25552252979098;-75.54072214796,1,346789,ABIERTO
524,MEDELLIN,6.274480749,-75.56676362,6.27448074942724;-75.5667636247288,4,160525,ABIERTO
525,MEDELLIN,6.273235798,-75.60227966,6.27323579788;-75.6022796631,5,177533,ABIERTO
526,MEDELLIN,6.243125171,-75.55337686,6.243125171456448;-75.55337685807461,5,175961,ABIERTO
527,MEDELLIN,6.223739147,-75.59493256,6.22373914719;-75.5949325562,1,226307,ABIERTO
528,MEDELLIN,6.2738753,-75.611439,6.2738753;-75.611439,1,408577,ABIERTO
529,MEDELLIN,6.256988613,-75.5500592,6.25698861258537;-75.5500591992998,4,276532,ABIERTO
530,MEDELLIN,6.249753436,-75.59466069,6.24975343649102;-75.5946606931684,1,284970,ABIERTO
531,MEDELLIN,6.252901382,-75.55855854,6.2529013824914;-75.5585585428352,1,189173,ABIERTO
532,MEDELLIN,6.272389889,-75.53752899,6.27238988876;-75.5375289917,4,209722,ABIERTO
533,MEDELLIN,6.230343144,-75.5297486,6.230343143662578;-75.52974859666577,1,327760,ABIERTO
534,MEDELLIN,6.285049915,-75.57779694,6.28504991531;-75.577796936,3,313300,ABIERTO
535,MEDELLIN,6.283456326,-75.5619278,6.28345632553;-75.5619277954,1,366549,ABIERTO
536,MEDELLIN,6.296720028,-75.58522034,6.29672002792;-75.5852203369,4,244398,ABIERTO
537,MEDELLIN,6.195368202,-75.59144227,6.195368202;-75.59144227,4,230783,ABIERTO
538,MEDELLIN,6.236039109,-75.59838557,6.23603910905888;-75.5983855672278,1,292182,ABIERTO
539,MEDELLIN,6.294603926,-75.56037756,6.29460392618845;-75.5603775554114,1,366530,ABIERTO
540,MEDELLIN,6.245660495,-75.62088212,6.24566049493322;-75.6208821201134,2,345094,ABIERTO
541,MEDELLIN,6.244631111,-75.57126084,6.244631111;-75.57126084,1,379269,ABIERTO
542,MEDELLIN,6.255010128,-75.56655884,6.25501012802;-75.5665588379,4,407773,ABIERTO
543,MEDELLIN,6.250887257,-75.57017188,6.25088725656075;-75.5701718813409,1,229398,ABIERTO
544,MEDELLIN,6.250663126,-75.56417097,6.250663126;-75.56417097,4,150324,ABIERTO
545,MEDELLIN,6.237760067,-75.58805084,6.23776006699;-75.5880508423,2,300563,ABIERTO
546,MEDELLIN,6.280765069,-75.60392141,6.28076506851329;-75.6039214098083,2,255535,ABIERTO
547,MEDELLIN,6.241201312,-75.55166697,6.2412013119;-75.5516669729,4,321697,ABIERTO
548,MEDELLIN,6.275010282,-75.61539594,6.27501028209;-75.6153959372,2,409354,CERRADO
549,MEDELLIN,6.260812948,-75.60414771,6.26081294840391;-75.6041477149185,1,159697,CERRADO
550,MEDELLIN,6.290081953,-75.58388649,6.29008195337158;-75.5838864858027,4,275022,CERRADO
551,MEDELLIN,6.277979851,-75.56649017,6.27797985077;-75.5664901733,4,173818,CERRADO
552,MEDELLIN,6.248279126,-75.58687632,6.24827912576389;-75.5868763245328,1,244257,CERRADO
553,MEDELLIN,6.267636299,-75.54419708,6.26763629913;-75.5441970825,5,301238,CERRADO
554,MEDELLIN,6.236673854,-75.55506233,6.23667385445211;-75.5550623345417,3,348150,CERRADO
555,MEDELLIN,6.294151158,-75.59315668,6.29415115786982;-75.5931566791944,4,179342,CERRADO
556,MEDELLIN,6.28611295,-75.57526936,6.286112949701082;-75.5752693607132,5,287931,CERRADO
557,MEDELLIN,6.285860062,-75.55587769,6.28586006165;-75.5558776855,3,247512,CERRADO
